repo,title,body,created_at,closed_at,issue_url,labels,additions,deletions,diff_file_name
ReactiveX/RxJava,2.x: Fix the error/race in Observable.repeatWhen due to flooding repeat signal,"This PR fixes a race condition in the `ObservableRepeatWhen` operator for the case when the repeat signal is not 1-for-1 and a new subscription may race with the clearing of the previous disposable because `active` is set to `false` too early. The fix is to swap the two operations. 

`Observable.retryWhen` and the `Flowable` versions do not have this bug. Unit tests were added to all 4 operators to verify the correct behavior regardless.

Fixes: #6358 ",2019-01-04 20:21:24,2019-01-04 23:39:21,https://api.github.com/repos/ReactiveX/RxJava/issues/6359,"['2.x', 'Bug']",229,1,ReactiveX_RxJava_pull_6359.diff
ReactiveX/RxJava,2.x: Disposable already set! using delaySubscription with takeUntil/repeatWhen,"When using a combination of `takeUntil`/`repeatWhen` operators on an `Observable` with `delaySubscription` operator applied, it is possible to encounter a `ProtocolViolationException: Disposable already set!` thrown by `RepeatWhenObserver#onSubscribe`. It appears that if `delaySubscription` uses an `ObservableSource` which rapidly/concurrently emits multiple notifications a rare race condition leads to a double subscription issue. 

I am not sure if this issue is a user error (`take(1)` on `ObservableSource` supplied to `delaySubscription` alleviates it) or a bug in RxJava hence me opening this PR with a slow test case that demonstrates this issue.
",2019-01-04 19:30:54,2019-01-04 19:39:29,https://api.github.com/repos/ReactiveX/RxJava/issues/6357,['Invalid'],59,0,ReactiveX_RxJava_pull_6357.diff
ReactiveX/RxJava,2.x: Improve TestScheduler Javadoc,"Resolves #6355 by improving TestScheduler Javadoc
",2019-01-04 01:37:31,2019-01-07 17:59:36,https://api.github.com/repos/ReactiveX/RxJava/issues/6356,"['2.x', 'Documentation']",54,3,ReactiveX_RxJava_pull_6356.diff
ReactiveX/RxJava,2.x: Update README,"This PR updates the [Converting to the desired type](https://github.com/ReactiveX/RxJava#converting-to-the-desired-type) section in the README to use [`Single::ignoreElement`](http://reactivex.io/RxJava/2.x/javadoc/io/reactivex/Single.html#ignoreElement--) instead of [`Single::toCompletable`](http://reactivex.io/RxJava/2.x/javadoc/io/reactivex/Single.html#toCompletable--) to convert a `Single` to a `Completable`. The reason for that is that the Javadoc mentions that `Single::toCompletable` is considered deprecated and `Single::ignoreElement` should be used instead.
",2019-01-02 15:47:17,2019-01-02 17:00:45,https://api.github.com/repos/ReactiveX/RxJava/issues/6353,"['2.x', 'Documentation']",1,1,ReactiveX_RxJava_pull_6353.diff
ReactiveX/RxJava,Update outdated java example in wiki #6331,"Updated java example in docs/How-To-Use-RxJava.md file with java 8 version.

Resolves: #6331",2018-12-27 18:14:31,2018-12-28 22:11:53,https://api.github.com/repos/ReactiveX/RxJava/issues/6351,"['2.x', 'Documentation']",14,9,ReactiveX_RxJava_pull_6351.diff
ReactiveX/RxJava,Add peek operator like java 8 streams,I like the peek operator in Java 8 streams to provide a logging interface for streams or to apply to some static or global buffer etc.,2018-12-19 17:47:17,2018-12-19 18:48:47,https://api.github.com/repos/ReactiveX/RxJava/issues/6348,"['2.x', 'Feature-Request']",158,7,ReactiveX_RxJava_pull_6348.diff
ReactiveX/RxJava,Javadoc: fix examples using markdown instead of @code,"In javadoc, backtick has no meaning and caused javadoc compilation errors:

https://travis-ci.org/akarnokd/RxJava2_9/jobs/469904725#L516",2018-12-19 09:37:28,2018-12-24 14:40:50,https://api.github.com/repos/ReactiveX/RxJava/issues/6346,"['2.x', 'Documentation']",6,6,ReactiveX_RxJava_pull_6346.diff
ReactiveX/RxJava,Javadoc: Incorrect  Return Types in Javadoc Comments,"This PR fixes some mistakes in Javadoc comments of some methods inside `Flowable.java` and `Observable.java` where the actual return type differs from what is described in the documentation.

Relates to: #4535 
",2018-12-15 14:57:52,2018-12-19 09:57:55,https://api.github.com/repos/ReactiveX/RxJava/issues/6344,"['2.x', 'Documentation']",5,5,ReactiveX_RxJava_pull_6344.diff
ReactiveX/RxJava,2.x: Update Filtering Observables docs,"This PR updates the `Filtering-Observables.md` wiki page as per issue #6132:

- Update operator list
- Revised descriptions
- Add examples

The page now follows the structure that was defined in #6131.",2018-12-14 21:01:09,2018-12-19 09:41:10,https://api.github.com/repos/ReactiveX/RxJava/issues/6343,"['2.x', 'Documentation']",760,22,ReactiveX_RxJava_pull_6343.diff
ReactiveX/RxJava,[WIP] upgrade JDK9+,"Thank you for contributing to RxJava. Before pressing the ""Create Pull Request"" button, please consider the following points:

  - [ ] Please give a description about what and why you are contributing, even if it's trivial.

  - [ ] Please include the issue list number(s) or other PR numbers in the description if you are contributing in response to those.

  - [ ] Please include a reasonable set of unit tests if you contribute new code or change an existing one. If you contribute an operator, (if applicable) please make sure you have tests for working with an `empty`, `just`, `range` of values as well as an `error` source, with and/or without backpressure and see if unsubscription/cancellation propagates correctly.
",2018-12-11 23:16:52,2018-12-11 23:41:14,https://api.github.com/repos/ReactiveX/RxJava/issues/6337,['Invalid'],12,6,ReactiveX_RxJava_pull_6337.diff
